CDS_number,VF_number,Length_bp,Description,1000ng_NoRibo,500ng_NoRibo,100ng_NoRibo,1000ng_Ribodpl,500ng_Ribodpl,100ng_Ribodpl,50ng_Ribodpl,25ng_Ribodpl,10ng_Ribodpl,5ng_Ribodpl_17cyc,5ng_Ribodpl_15cyc,2ng_Ribodpl_17cyc,2ng_Ribodpl_15cyc,1ng_Ribodpl_17cyc,1ng_Ribodpl_15cyc
c1cds1698,VF_1689,1107,proteolytic adapter for RpoS degradation by ClpXP %28RssB%2C ExpM%29,540,524,369,314,289,187,618,56,234,383,323,202,140,93,35
c1cds1699,VF_1690,876,LysR family transcriptional regulator,691,695,646,594,585,354,1043,58,407,519,520,325,242,60,41
c1cds1700,VF_1691,1515,amidophosphoribosyltransferase,541,586,554,504,511,381,1414,128,482,870,613,397,242,221,45
c1cds1701,VF_1692,492,membrane protein required for colicin V production,206,227,199,229,205,161,401,44,170,189,207,109,58,18,21
c1cds1702,VF_1693,558,DedD protein,406,383,398,413,397,272,877,80,282,499,481,241,109,86,19
c1cds1703,VF_1694,1281,bifunctional folylpolyglutamate synthase%2F dihydrofolate synthase,666,840,667,644,607,399,1253,121,463,477,398,246,224,46,52
c1cds1704,VF_1695,885,acetyl-CoA carboxylase subunit beta,2470,3012,3418,3192,3062,2309,8532,622,3198,4459,3658,2405,1655,744,384
c1cds1705,VF_2628,174,hypothetical protein,30,44,29,34,31,22,27,4,53,25,22,3,3,1,0
c1cds1706,VF_1696,789,tRNA pseudouridine synthase A,674,705,650,614,559,390,1328,124,427,729,839,403,310,108,73
c1cds1707,VF_1697,4122,latent nuclear antigen,5547,6087,5461,5239,4924,3518,11988,1116,4653,7051,6646,4478,2257,1586,846
c1cds1708,VF_1698,1014,aspartate-semialdehyde dehydrogenase,1125,1360,1350,1487,1333,958,3310,280,1347,1883,1638,1046,559,294,180
c1cds1709,VF_1699,1131,erythronate-4-phosphate dehydrogenase,691,680,603,563,575,375,1277,113,474,784,853,650,347,166,134
c1cds1710,VF_1700,1212,3-oxoacyl-ACP synthase,7538,9373,8942,8192,7592,5718,20571,1365,7334,12158,11389,7957,4760,2401,1631
c1cds1711,VF_1701,2043,5-methylaminomethyl-2-thiouridine methyltransferase,616,557,505,470,439,336,1181,102,345,729,469,369,238,110,103
c1cds1712,VF_1702,978,membrane-bound lytic murein transglycosylase B,1306,1375,1195,1239,1176,841,2185,158,830,1090,1294,864,608,194,130
c1cds1713,VF_1703,261,hypothetical protein,354,322,215,205,177,159,623,22,217,279,176,194,124,5,24
c1cds1714,VF_1704,666,septum formation inhibitor,792,1050,926,903,976,611,2216,153,672,1051,1056,730,406,214,152
c1cds1715,VF_1705,813,membrane ATPase of the MinC-MinD-MinE system,1300,1538,1445,1504,1430,1110,3802,306,1434,1664,2141,1049,647,234,159
c1cds1716,VF_1706,264,cell division topological specificity factor MinE,277,310,246,331,316,239,991,61,363,290,324,93,62,29,25
c1cds1717,VF_1707,1122,ribonuclease D,149,184,162,158,173,98,433,41,174,137,122,98,153,40,29
c1cds1718,VF_1708,1683,long-chain-fatty-acid--CoA ligase,1137,1328,1258,1071,1009,734,2536,145,901,1427,1206,858,509,296,168
c1cds1719,VF_1709,870,hydrolase,140,154,160,161,162,103,365,33,113,206,144,107,23,26,10
c1cds1720,VF_1710,552,outer membrane protein Slp,172,202,210,200,206,156,570,52,274,554,425,291,152,82,65
c1cds1721,VF_1711,300,hypothetical protein,130,158,179,158,154,147,444,45,152,262,210,213,109,106,35
c1cds1722,VF_1712,702,peptidase,516,630,567,517,556,395,1529,101,520,895,725,464,326,146,109
c1cds1723,VF_1713,1959,hypothetical protein,671,637,482,418,444,270,939,69,364,691,568,321,286,124,68
c1cds1724,VF_1714,696,formyltetrahydrofolate deformylase,338,382,349,344,311,175,613,49,161,294,222,229,30,34,55
c1cds1725,VF_1715,798,tetranactin resistance protein,227,278,280,255,237,191,678,52,296,325,293,169,94,13,27
c1cds1726,VF_1716,816,AraC family transcriptional regulator,101,101,76,83,72,54,133,13,87,122,72,52,33,5,1
c1cds1727,VF_1717,894,drug%2Fmetabolite exporter family protein,17,20,12,14,19,12,25,3,12,31,3,1,0,0,0
c1cds1728,VF_1718,1173,bifunctional beta-cystathionase%2C PLP-dependent%2F regulator of maltose regulon,174,200,191,176,134,124,450,33,162,199,211,113,135,74,19
c1cds1729,VF_1719,1578,bifunctional PTS system maltose and glucose-specific transporter subunits IICB,239,232,267,224,209,163,575,40,229,336,241,212,81,46,14
c1cds1730,VF_1720,1023,DNA-binding transcriptional repressor MalI,232,273,196,208,220,151,518,55,150,380,234,192,68,65,30
c1cds1731,VF_2629,159,hypothetical protein,41,33,70,53,60,41,193,9,64,72,24,62,0,0,2
c1cds1732,VF_1721,2325,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,124,128,102,97,101,63,258,10,74,96,80,54,5,18,34
c1cds1733,VF_1722,912,DNA-binding transcriptional activator%2C homocysteine-binding,73,80,71,79,54,40,148,0,66,47,24,55,21,17,52
c1cds1734,VF_2630,195,hypothetical protein,9270,12394,14757,12166,12662,10064,74920,3731,21179,22166,17383,19568,9609,4876,4334
c1cds1735,VF_1723,708,hypothetical protein,170,161,125,107,141,80,204,10,70,154,48,110,53,4,23
c1cds1736,VF_1724,1371,C4-dicarboxylate transporter DcuC,4771,5960,5645,5291,5237,3840,11905,855,4699,5034,4766,3088,1794,691,635
c1cds1737,VF_1725,1533,secretory tripeptidyl aminopeptidase,354,320,257,247,255,152,500,34,174,218,137,144,125,10,19
c1cds1738,VF_1726,2370,hypothetical protein,514,645,562,506,477,283,1128,41,333,457,597,290,259,57,29
c1cds1739,VF_1727,1281,tyrosyl-tRNA synthetase,1225,1443,1497,1530,1507,1191,4490,374,1746,1727,1758,1190,775,369,199
c1cds1740,VF_1728,771,hypothetical protein,9223,9063,7332,6432,6282,4191,9253,658,3697,4172,4811,3193,1577,811,484
c1cds1741,VF_2631,90,hypothetical protein,351,304,167,134,67,28,16,0,0,0,0,0,0,0,19
c1cds1742,VF_1729,582,hypothetical protein,73,76,56,54,64,42,147,8,57,18,96,27,19,46,4
c1cds1743,VF_1730,1467,sodium%2Fproline symporter,41,40,29,21,41,24,47,8,19,1,55,34,2,1,1
c1cds1744,VF_2632,96,hypothetical protein,3,1,0,1,0,0,8,0,0,0,0,0,0,0,0
c1cds1745,VF_1731,630,stringent starvation protein A,73,68,77,77,60,43,178,10,34,40,77,81,30,19,8
c1cds1746,VF_1732,1428,PTS system glucose-specific transporter subunit IIBC,581,739,771,763,760,537,2411,186,971,1334,1201,712,438,238,154
c1cds1747,VF_1733,771,metallodependent hydrolase,334,320,308,275,300,173,631,37,330,386,309,124,93,39,38
c1cds1748,VF_1734,807,DNA polymerase III%2C delta prime subunit,142,190,172,164,173,113,280,36,169,164,165,46,75,76,13
c1cds1749,VF_1735,633,thymidylate kinase,201,225,177,155,168,141,476,54,176,399,225,149,72,45,31
c1cds1750,VF_1736,906,aminodeoxychorismate lyase,163,169,169,179,183,125,417,36,109,189,143,146,74,6,22
c1cds1751,VF_1737,807,4-amino-4-deoxychorismate lyase,179,186,146,100,104,63,248,11,82,62,185,69,77,15,4
c1cds1752,VF_1738,1245,3-oxoacyl-ACP synthase,2796,3751,4390,4390,4171,3109,10115,774,3981,5642,5137,2901,1936,1079,674
c1cds1753,VF_1739,234,acyl carrier protein,7920,8837,8663,9184,9582,6382,28988,1895,8503,14200,13846,9965,4741,2120,1712
c1cds1754,VF_1740,738,3-ketoacyl-ACP reductase,2836,3774,4148,4450,4248,3224,11378,881,4116,5864,5060,3330,1894,1167,515
c1cds1755,VF_1741,915,malonyl-CoA:%28acyl carrier protein%29 S-malonyltransferase,2890,3005,2673,2336,2294,1657,5973,361,2203,3503,3362,2500,1329,686,494
c1cds1756,VF_1742,954,3-oxoacyl-ACP synthase,1279,1595,1628,1474,1546,1155,4195,352,1614,2065,1843,1492,727,443,215
c1cds1757,VF_1743,1026,glycerol-3-phosphate acyltransferase PlsX,555,616,555,487,466,279,1096,55,360,712,658,662,491,163,194
c1cds1758,VF_1744,171,50S ribosomal protein L32,1198,2109,3425,3663,3969,3069,13308,892,4529,6399,5762,3752,2416,870,658
c1cds1759,VF_1745,522,hypothetical protein,10907,14910,14264,14542,13924,11207,33209,3156,13076,11548,11908,6609,3402,1895,1287
c1cds1760,VF_1746,582,hypothetical protein,97,93,88,73,84,47,63,6,36,27,21,48,2,78,0
c1cds1761,VF_1747,948,23S rRNA pseudouridylate synthase,1057,1166,950,1071,1049,690,2730,216,1029,1492,1137,872,650,124,262
c1cds1762,VF_1748,2985,hypothetical protein,7755,8888,8329,8322,8058,5624,22061,1640,7201,9515,10077,5673,3228,1986,1281
c1cds1763,VF_1749,1548,sulfate transporter,158,174,179,162,171,107,299,22,219,240,194,100,50,45,12
c1cds1764,VF_1750,606,cob%28I%29yrinic acid a%2Cc-diamide adenosyltransferase,172,176,152,155,157,93,347,40,134,255,114,101,35,14,21
c1cds1765,VF_1751,2136,assembly protein,2718,2624,2189,1990,1863,1463,3575,300,1593,1622,1387,953,701,259,95
c1cds1766,VF_1752,648,uridine kinase,694,775,728,684,694,470,1397,121,575,676,685,393,296,220,58
c1cds1767,VF_1753,1068,antiporter inner membrane protein,685,724,702,542,497,368,1026,92,413,729,583,434,262,153,97
c1cds1768,VF_1754,2061,methionyl-tRNA synthetase,2798,2958,2726,2542,2436,1717,5167,446,1981,2961,2635,1808,914,501,264
c1cds1769,VF_1755,705,orotidine 5%27-phosphate decarboxylase,281,341,292,295,260,193,722,45,343,475,369,308,202,75,109
c1cds1770,VF_1756,1170,tetratricopeptide repeat protein,638,659,540,495,464,307,1109,83,301,429,605,449,394,18,87
c1cds1771,VF_1757,267,hypothetical protein,888,729,627,613,586,389,878,71,443,504,488,318,131,97,21
c1cds1772,VF_1758,282,integration host factor subunit beta,13454,14538,14629,15555,14368,9448,34437,2358,11593,26974,26430,18511,9992,5851,3767
c1cds1773,VF_1759,1674,30S ribosomal protein S1,95550,120233,120008,125828,119808,87343,314525,23098,105514,150817,153838,91457,54277,28445,17530
c1cds1774,VF_1760,675,cytidylate kinase,3822,5111,4545,3936,4118,3633,22525,1430,7304,10634,9955,7510,4869,2123,1397
c1cds1775,VF_1761,1281,3-phosphoshikimate 1-carboxyvinyltransferase,2753,2629,2027,1880,1852,1352,3811,315,1435,2189,2002,1248,568,374,268
c1cds1776,VF_1762,720,leucyl%2Fphenylalanyl-tRNA--protein transferase,172,166,155,126,145,90,242,13,150,182,141,105,27,14,5
c1cds1777,VF_1763,693,arginyl-tRNA-protein transferase,147,124,130,96,121,77,226,9,90,182,106,91,15,8,34
c1cds1778,VF_1764,219,translation initiation factor IF-1,499,538,556,571,609,388,985,64,386,371,354,320,34,40,57
c1cds1779,VF_1765,2253,ATP-dependent Clp protease ATP-binding subunit,10166,11900,11705,12320,12057,8979,31288,2824,12189,16944,15130,9417,5765,2886,1987
c1cds1780,VF_1766,321,ATP-dependent Clp protease adaptor protein ClpS,3189,2856,2183,2296,2250,1680,5742,555,2642,3368,3132,1841,1130,539,329
c1cds1781,VF_1767,222,DNA replication inhibitor,744,616,573,580,548,293,1454,65,413,917,514,532,249,154,104
c1cds1782,VF_1768,543,hypothetical protein,51,59,50,33,35,17,82,1,27,0,24,14,1,0,1
c1cds1783,VF_1769,1458,hypothetical protein,388,391,357,323,329,221,675,48,327,379,339,193,185,111,51
c1cds1784,VF_1770,858,bifunctional 5%2C10-methylene-tetrahydrofolate dehydrogenase%2F 5%2C10-methylene-tetrahydrofolate cyclohydrolase,676,854,854,715,666,435,1524,133,461,986,889,718,405,249,145
c1cds1785,VF_1771,1935,serine kinase PrkA,736,708,618,508,533,323,1297,103,579,545,651,280,101,114,46
c1cds1786,VF_1773,1272,hypothetical protein,262,262,225,186,196,123,396,22,157,151,149,88,27,14,15
c1cds1787,VF_1774,1518,SpoVR family protein,177,201,149,130,133,90,217,22,66,131,77,64,33,26,19
c1cds1788,VF_1775,2229,isocitrate dehydrogenase,7577,8842,8084,8119,7539,5605,18844,1456,7131,10966,10173,6155,3832,1597,1250
c1cds1789,VF_1776,621,23S rRNA pseudouridine synthase,172,160,142,157,136,72,327,9,115,175,133,108,18,38,17
c1cds1790,VF_2633,174,lipoprotein,85,109,77,77,71,30,165,11,45,32,49,21,16,4,28
c1cds1791,VF_1777,273,hypothetical protein,97,112,85,109,95,53,223,21,71,132,84,69,8,3,8
c1cds1792,VF_1778,1620,methyl-accepting chemotaxis protein,12,20,15,13,15,12,33,3,24,3,18,27,1,0,0
c1cds1793,VF_1779,336,tellurite resistance protein B,46,46,28,35,28,23,54,6,30,43,10,10,0,1,2
c1cds1794,VF_1780,774,ferredoxin-NADP reductase,94,77,79,73,84,57,151,9,77,89,71,16,70,44,6
c1cds1795,VF_1781,1149,nitric oxide reductase,79,89,55,68,49,44,119,9,33,80,91,48,6,13,8
c1cds1796,VF_1782,1491,anaerobic nitric oxide reductase flavorubredoxin,45,34,20,33,22,25,66,5,21,12,46,35,14,0,0
c1cds1797,VF_1783,1539,anaerobic nitric oxide reductase transcriptional regulator,177,193,154,172,144,100,366,18,129,118,147,62,3,35,10
c1cds1798,VF_1784,1125,tRNA-specific 2-thiouridylase MnmA,1010,1168,1016,944,1066,698,2980,198,1049,1613,1280,939,639,411,131
c1cds1799,VF_1785,618,hypothetical protein,438,544,521,478,528,371,1297,93,504,558,573,545,198,158,47
c1cds1800,VF_1786,1371,adenylosuccinate lyase,1269,1662,1712,1654,1531,1120,3451,278,1283,1736,2099,1014,579,447,140
c1cds1801,VF_1787,855,AraC family transcriptional regulator,183,167,154,121,118,90,209,15,79,51,91,76,51,14,14
c1cds1802,,255,hypothetical protein,8,15,10,6,8,2,12,5,0,0,0,2,6,0,0
c1cds1803,VF_1788,429,hypothetical protein,670,684,541,580,586,340,1880,131,499,844,630,402,188,121,88
c1cds1804,VF_1789,2094,methyl-accepting chemotaxis protein,1620,1793,1531,1622,1599,1097,2840,233,1143,1475,1349,823,480,265,171
c1cds1805,VF_1790,1197,ATP-dependent RNA helicase,338,370,305,285,319,205,589,51,234,288,193,221,146,105,16
c1cds1806,VF_1791,888,serine protease,1159,1179,1073,703,691,479,1593,122,658,1230,1081,662,282,132,165
c1cds1807,VF_1792,471,hypothetical protein,840,802,674,463,433,292,881,57,358,682,438,235,167,80,114
c1cds1808,VF_1793,1749,formate--tetrahydrofolate ligase,451,536,510,404,382,274,1035,69,348,410,531,290,204,104,73
c1cds1809,VF_1794,501,hypothetical protein,4245,4019,2995,2484,2370,1473,3160,222,1021,1504,1892,918,511,383,243
c1cds1810,VF_1795,1050,outer membrane protein OmpC,144,179,161,170,153,119,313,38,138,214,164,105,55,22,32
c1cds1811,VF_1796,810,23S rRNA methyltransferase,94,88,68,59,73,41,144,18,64,98,127,34,36,0,4
c1cds1812,VF_1797,612,hypothetical protein,24,14,16,14,10,7,38,1,23,34,24,5,0,0,0
c1cds1813,VF_1798,1407,chloride channel protein,281,382,300,217,295,150,766,65,178,408,380,189,250,101,52
c1cds1814,VF_1799,942,lipid A biosynthesis %28KDO%292-%28lauroyl%29-lipid IVA acyltransferase,518,484,474,456,490,320,1283,103,584,625,513,496,200,89,87
c1cds1815,VF_1800,426,HIT family hydrolase,623,707,586,483,477,294,1006,75,260,262,304,193,172,57,19
c1cds1816,VF_1801,261,hypothetical protein,63,76,86,116,98,70,412,41,116,173,114,79,39,3,12
c1cds1817,VF_1802,531,hypothetical protein,57,53,53,57,50,40,94,10,67,73,11,22,4,4,0
c1cds1818,VF_1803,534,magnesium transport ATPase protein C,24,17,20,10,9,6,29,1,6,25,13,0,11,0,4
c1cds1819,VF_1804,642,hypothetical protein,173,164,195,129,144,105,460,44,175,152,202,126,62,29,11
c1cds1820,VF_1805,1086,chorismate synthase,2046,2147,1758,1314,1243,843,3155,203,976,2302,2116,1316,896,498,289
c1cds1821,VF_2635,129,hypothetical protein,111,119,61,75,44,26,78,6,20,0,7,19,7,0,0
c1cds1822,VF_1806,933,N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase,678,793,754,747,698,567,1809,117,714,796,922,643,415,167,196
c1cds1823,VF_1807,534,hypothetical protein,293,326,283,243,271,138,531,36,141,346,266,227,80,34,34
c1cds1824,VF_1808,471,phosphohistidine phosphatase,631,702,707,452,468,302,943,59,223,509,458,194,117,44,60
c1cds1825,VF_1809,2778,protease III,1204,1389,1260,1034,915,638,1834,136,870,714,729,521,238,146,68
c1cds1826,VF_1810,2100,multifunctional fatty acid oxidation complex subunit alpha,529,544,504,461,400,276,954,73,385,595,517,363,200,79,68
c1cds1827,VF_1811,1329,3-ketoacyl-CoA thiolase,221,256,224,212,184,130,503,30,260,216,295,176,77,79,31
c1cds1828,VF_1812,1227,long-chain fatty acid transport protein,5415,5908,5600,5169,5169,3719,13184,1052,4928,6315,6832,3974,2062,1225,975
c1cds1829,VF_1813,1299,long-chain fatty acid transport protein,56,74,70,59,38,39,134,11,30,62,77,89,6,10,11
c1cds1830,VF_1814,606,hypothetical protein,69,83,72,86,90,58,136,9,67,33,41,49,34,11,4
c1cds1831,VF_1815,783,VacJ lipoprotein,216,212,169,170,156,102,401,26,148,111,196,157,56,24,32
c1cds1832,VF_1816,1218,cytochrome c-type biogenesis protein CcmI,1940,2197,2031,2073,1997,1565,4805,459,2069,2230,2048,1321,791,280,185
c1cds1833,VF_1817,516,cytochrome c-type biogenesis protein CcmH,1070,1015,874,844,813,552,1238,162,657,811,735,421,245,246,66
c1cds1834,VF_1818,552,periplasmic thioredoxin of cytochrome c-type biogenesis,378,502,616,628,533,458,1575,132,591,862,823,603,289,205,103
c1cds1835,VF_1819,1959,heme lyase%2C CcmF subunit,1354,1636,1568,1169,1111,840,2745,217,1128,1793,1778,910,655,287,195
c1cds1836,VF_1820,486,cytochrome c-type biogenesis protein CcmE,787,829,679,618,643,417,1689,109,576,807,904,455,393,177,160
c1cds1837,VF_1821,207,heme exporter protein D,184,189,171,153,160,126,532,51,218,193,276,168,93,55,50
c1cds1838,VF_1822,753,heme exporter subunit C,310,405,390,352,402,292,1165,86,413,588,427,288,205,145,36
c1cds1839,VF_1823,669,heme exporter subunit B,267,250,199,225,216,155,365,36,205,169,137,100,48,19,11
c1cds1840,VF_1824,615,cytochrome c biogenesis protein CcmA,557,602,532,520,534,359,1310,103,431,816,896,518,236,71,91
c1cds1841,VF_1825,462,hypothetical protein,1728,1800,1682,1864,1887,1474,4327,459,1732,2670,2261,1676,997,416,307
c1cds1842,VF_1826,495,chemotaxis coupling protein CheW,3458,3218,2810,2763,2721,1734,5181,366,1907,3631,3612,1830,1216,492,371
c1cds1843,VF_1828,1059,chemotaxis coupling protein,1323,1362,1061,1056,994,681,3065,254,981,1976,1679,1207,642,265,246
c1cds1844,VF_1829,768,chromosome partitioning protein ParA,929,966,938,1005,955,700,2031,135,904,920,947,528,340,129,72
c1cds1845,VF_1830,1131,chemotaxis-specific methylesterase,2086,2667,2403,2353,2339,1708,6373,429,2174,3444,3483,1931,1295,781,385
c1cds1846,VF_1831,2208,chemotactic sensory histidine kinase CheA%2C in two-component regulatory system with CheB and CheY,4457,5586,5685,5563,5527,4273,14974,1256,5641,7504,7186,4497,2890,1425,1008
c1cds1847,VF_1832,717,chemotaxis regulator CheZ%2C protein phosphatase for CheY,1775,2113,1825,1641,1606,1151,3207,371,1407,2315,2047,1620,848,394,282
c1cds1848,VF_1833,369,chemotaxis regulator CheY%2C transmits signal to flagellar motor component,460,559,698,679,660,522,1875,158,683,779,791,553,290,103,102
c1cds1849,VF_1834,732,flagellar biosynthesis sigma factor,1393,1516,1307,1203,1187,900,2784,243,1122,1345,1647,888,414,244,198
c1cds1850,VF_1835,891,flagellar synthesis regulator FlhG,1363,1610,1376,1156,1063,709,2225,229,850,1348,1223,748,505,351,229
c1cds1851,VF_1836,1479,flagellar biosynthesis regulator FlhF,862,926,789,769,735,545,1933,141,675,852,870,622,416,206,122
c1cds1852,VF_1837,2094,flagellar biosynthesis protein FlhA,411,427,365,366,344,264,1055,84,387,770,645,342,291,180,112
c1cds1853,VF_1838,678,hypothetical protein,128,118,91,77,81,45,123,9,40,52,58,23,48,33,6
c1cds1854,VF_1839,1131,flagellar biosynthesis protein FlhB,114,167,143,113,80,65,247,23,71,108,92,67,79,25,8
c1cds1855,VF_1840,783,flagellar biosynthesis protein FliR,48,55,79,72,76,47,267,20,106,86,133,78,51,0,0
c1cds1856,VF_1841,270,flagellar biosynthesis protein FliQ,32,38,55,46,54,37,103,3,54,15,38,21,0,5,0
c1cds1857,VF_1842,870,flagellar biosynthesis protein FliP,130,170,166,139,130,95,401,32,141,161,121,96,107,10,27
c1cds1858,VF_1843,387,flagellar biosynthesis protein FliO,99,102,92,105,91,81,454,35,158,355,141,137,14,26,13
c1cds1859,VF_1844,390,flagellar motor switch protein,200,227,255,250,237,195,756,53,301,247,359,211,136,27,41
c1cds1860,VF_1845,1035,flagellar motor switch protein FliM,432,496,438,385,382,257,1122,79,391,633,591,381,122,108,110
c1cds1861,VF_1846,486,flagellar basal body protein FliL,123,181,138,120,133,88,402,27,139,168,349,148,132,37,32
c1cds1862,VF_1847,1251,flagellar hook length control protein FliK,608,586,525,464,453,272,1141,72,388,649,490,416,211,32,68
c1cds1863,VF_1848,444,flagellar biosynthesis chaperone,132,114,104,102,84,69,344,17,98,181,83,65,46,53,55
c1cds1864,VF_1849,1320,flagellum-specific ATP synthase,347,454,426,412,442,293,1119,90,465,752,606,355,213,46,124
c1cds1865,VF_1850,798,flagellar assembly protein H,229,253,203,197,178,132,631,43,149,173,401,241,179,38,41
c1cds1866,VF_1851,1053,flagellar motor switch protein G,372,450,430,421,409,300,1136,99,369,494,718,411,234,130,58
c1cds1867,VF_1852,1734,flagellar MS-ring protein,482,639,602,555,458,309,1359,109,443,829,914,442,193,252,126
c1cds1868,VF_1853,312,flagellar hook-basal body protein FliE,278,266,201,175,152,84,287,39,85,105,166,46,20,15,32
c1cds1869,VF_1854,1434,two-component response regulator FlrC,434,534,428,325,323,216,753,59,266,545,449,285,113,89,38
c1cds1870,VF_1855,1062,sensory histidine kinase FlrB,274,281,244,225,208,145,451,27,204,378,352,149,154,21,43
c1cds1871,VF_1856,1482,sigma-54-dependent transcriptional activator FlrA,2735,3279,3023,2836,2783,1924,7580,532,2824,4105,3754,2205,1410,774,385
c1cds1872,VF_1858,411,flagellar protein FliS,192,275,331,346,355,217,939,56,295,427,420,210,72,31,35
c1cds1873,VF_1859,291,flagellar protein FlaI,355,286,156,136,172,79,397,23,131,167,245,209,81,38,25
c1cds1874,VF_1860,1971,flagellar capping protein,1336,1519,1316,1292,1206,879,3757,273,1146,1784,1859,1093,542,309,162
c1cds1875,VF_1861,420,flagellar protein FlaG,1184,1212,1077,818,835,662,2121,174,808,1268,1311,980,431,374,192
c1cds1876,VF_1862,1197,flagellin,59359,77142,78549,78053,71215,51274,178004,11448,60245,97387,89413,60449,37211,20293,11964
c1cds1877,VF_1863,1128,flagellin,17326,22617,21233,20359,19485,14301,54976,3869,19585,27876,26489,15739,9314,4561,3331
c1cds1878,VF_1864,1134,flagellin,18096,22162,21500,17746,16342,12558,41826,3123,15939,24395,22402,13472,8236,4211,2714
c1cds1879,VF_1865,1134,flagellin,1029,1214,1095,1125,1120,908,3449,242,1095,1815,1858,1028,635,455,256
c1cds1880,VF_1866,1140,flagellin,9459,12567,13242,14276,13465,10596,35296,2391,11584,14613,13331,9699,5341,2807,1919
c1cds1881,VF_1867,1194,flagellar hook-associated protein FlgL,812,895,851,789,783,521,1558,155,620,579,734,440,191,75,88
c1cds1882,VF_1868,1881,flagellar hook-associated protein FlgK,2943,3509,3251,2839,2496,1728,5687,435,1834,3262,2831,1649,1209,688,346
c1cds1883,VF_1869,1020,flagellar rod assembly protein%2Fmuramidase FlgJ,694,805,801,844,822,640,2584,183,885,969,968,804,357,116,160
c1cds1884,VF_1870,1122,flagellar basal body P-ring biosynthesis protein FlgA,385,467,487,453,476,365,1426,90,451,785,674,381,262,107,59
c1cds1885,VF_1871,792,flagellar basal body L-ring protein,467,504,480,460,512,375,1590,112,506,677,938,499,292,123,75
c1cds1886,VF_1872,789,flagellar basal body rod protein FlgG,705,851,811,797,784,593,1994,139,720,1531,1296,803,574,220,163
c1cds1887,VF_1873,750,flagellar basal body rod protein FlgF,809,913,779,770,832,552,2172,138,824,1232,1144,699,379,190,172
c1cds1888,VF_1874,1299,flagellar hook protein FlgE,4298,5121,4832,4241,4140,3100,10734,757,3956,5692,6183,3765,2542,1232,596
c1cds1889,VF_1875,711,flagellar basal body rod modification protein,15707,17132,15075,14268,13205,7899,24172,1942,8266,14457,15337,8061,4715,2651,1563
c1cds1890,VF_1876,417,flagellar basal body rod protein FlgC,9140,9044,7670,6921,6628,4546,13536,946,4996,6701,6328,3699,2324,1061,694
c1cds1891,VF_1877,396,flagellar basal-body rod protein FlgB,12740,10448,7685,7355,7006,4159,13337,1084,5242,9557,9912,5934,3125,1814,1044
c1cds1892,VF_1878,828,chemotaxis regulator%2C protein-glutamate methyltransferase%2C CheR,1093,1255,1196,1211,1192,822,3856,312,1582,1792,1507,970,720,336,173
c1cds1893,VF_1879,921,chemotaxis protein CheW,1547,1903,1818,1835,1834,1364,5678,470,2104,3243,2458,1800,1010,554,302
c1cds1894,VF_1880,768,flagellar basal body P-ring biosynthesis protein FlgA,249,363,273,226,212,129,591,37,191,264,225,154,91,116,4
c1cds1895,VF_1881,312,flagellar anti-sigma-28 factor FlgM,2409,2984,2630,2751,2780,1686,7666,463,1966,3744,3399,2316,1240,729,482
c1cds1896,VF_1882,429,chaperone FlgN,1311,1670,1678,1714,1636,1057,4737,364,1492,2068,1902,1199,810,300,242
c1cds1897,VF_1883,432,hypothetical protein,403,441,512,527,518,394,1818,141,628,735,748,297,237,148,92
c1cds1898,VF_1884,636,hypothetical protein,819,896,852,850,812,583,2374,186,827,752,895,480,206,119,115
c1cds1899,VF_1885,1137,hypothetical protein,479,522,480,522,502,299,1066,103,500,529,541,338,228,40,116
c1cds1900,VF_1886,1452,hypothetical protein,190,201,170,115,102,71,209,8,71,84,38,24,15,0,0
c1cds1901,VF_2636,174,hypothetical protein,75,76,62,69,68,48,246,19,93,112,156,88,51,7,16
c1cds1902,VF_1887,1425,glutamyl-tRNA synthetase,1624,1891,2114,2123,2129,1511,5345,450,2030,3509,2919,1822,1464,634,335
c1cds1903,VF_1888,798,lipoprotein,1010,1065,833,830,927,652,2196,231,937,1009,1031,658,516,159,97
c1cds1904,VF_1889,1053,chitoporin ChiP,328,364,375,235,204,166,645,54,251,194,224,168,74,61,35
c1cds1905,VF_1890,2007,NAD-dependent DNA ligase LigA,571,689,571,414,369,240,803,70,347,559,421,265,242,109,57
c1cds1906,VF_1891,1077,cell division protein ZipA,3573,3504,2984,2776,2844,1865,8088,566,2372,3583,3473,2419,1243,670,361
c1cds1907,VF_1892,753,sulfate transport protein CysZ,310,297,236,212,180,105,418,36,169,126,117,149,15,25,6
c1cds1908,VF_1893,969,cysteine synthase A,2431,2678,2428,2496,2296,1717,6299,512,2413,3556,3683,2092,1299,468,419
c1cds1909,VF_1894,258,phosphohistidinoprotein-hexose phosphotransferase component of PTS system %28Hpr%29,1603,2009,1890,1957,2001,1515,7482,553,2649,3783,3127,2083,1275,667,388
c1cds1910,VF_1895,1725,phosphoenolpyruvate-protein phosphotransferase,6957,7932,7374,7167,7111,5295,17950,1608,7163,6992,6385,4292,2604,1121,782
c1cds1911,VF_1897,510,PTS system glucose-specific transporter,3478,4078,4527,4680,4941,3387,11077,986,4140,5372,4832,2887,1808,726,429
