CDS_number,VF_number,Length_bp,Description,Plk1,Plk2,Plk3,Swt1,Swt2,Swt3,Vnt1,Vnt2,Vnt3
c1cds1744,VF_2632,96,hypothetical protein,17,70,80,0,15,0,0,24,48
c1cds1745,VF_1731,630,stringent starvation protein A,209,199,194,156,158,43,18,105,154
c1cds1746,VF_1732,1428,PTS system glucose-specific transporter subunit IIBC,19902,19560,16548,3626,1728,537,1068,13938,32753
c1cds1747,VF_1733,771,metallodependent hydrolase,2236,1557,1778,1045,607,173,203,706,1361
c1cds1748,VF_1734,807,DNA polymerase III%2C delta prime subunit,1603,1092,1113,833,372,113,87,590,1112
c1cds1749,VF_1735,633,thymidylate kinase,1291,1185,1260,757,453,141,97,260,580
c1cds1750,VF_1736,906,aminodeoxychorismate lyase,609,684,756,690,423,125,28,270,367
c1cds1751,VF_1737,807,4-amino-4-deoxychorismate lyase,611,512,639,337,259,63,86,129,226
c1cds1752,VF_1738,1245,3-oxoacyl-ACP synthase,2449,4713,6297,22887,9714,3109,91,2192,3156
c1cds1753,VF_1739,234,acyl carrier protein,24977,21059,21472,68013,24032,6382,1057,6386,10497
c1cds1754,VF_1740,738,3-ketoacyl-ACP reductase,7511,8576,10322,26394,9825,3224,199,2157,4725
c1cds1755,VF_1741,915,malonyl-CoA:%28acyl carrier protein%29 S-malonyltransferase,6175,5949,6492,14236,4891,1657,99,1156,2218
c1cds1756,VF_1742,954,3-oxoacyl-ACP synthase,7455,6769,7168,7682,3671,1155,51,1806,3752
c1cds1757,VF_1743,1026,glycerol-3-phosphate acyltransferase PlsX,4213,2725,2696,1863,768,279,143,724,1415
c1cds1758,VF_1744,171,50S ribosomal protein L32,5560,10986,9697,7316,10533,3069,2,3394,3409
c1cds1759,VF_1745,522,hypothetical protein,11267,24896,28693,18803,24363,11207,501,9493,11543
c1cds1760,VF_1746,582,hypothetical protein,137,83,96,231,83,47,39,79,98
c1cds1761,VF_1747,948,23S rRNA pseudouridylate synthase,2413,3217,4071,3109,2242,690,293,1599,2219
c1cds1762,VF_1748,2985,hypothetical protein,9462,22209,32313,32969,20112,5624,349,2744,5536
c1cds1763,VF_1749,1548,sulfate transporter,786,2493,3246,1203,410,107,50,910,656
c1cds1764,VF_1750,606,cob%28I%29yrinic acid a%2Cc-diamide adenosyltransferase,516,751,967,411,521,93,13,290,462
c1cds1765,VF_1751,2136,assembly protein,19525,11190,10401,5287,4501,1463,954,3927,6493
c1cds1766,VF_1752,648,uridine kinase,8633,6833,8592,2814,1596,470,534,2409,4381
c1cds1767,VF_1753,1068,antiporter inner membrane protein,1024,1144,1525,952,1131,368,105,381,541
c1cds1768,VF_1754,2061,methionyl-tRNA synthetase,1891,3185,4590,13317,5307,1717,325,1414,2268
c1cds1769,VF_1755,705,orotidine 5%27-phosphate decarboxylase,1448,553,567,1319,956,193,83,238,471
c1cds1770,VF_1756,1170,tetratricopeptide repeat protein,2083,2328,2867,837,1068,307,82,656,988
c1cds1771,VF_1757,267,hypothetical protein,1222,712,562,1116,1165,389,26,414,355
c1cds1772,VF_1758,282,integration host factor subunit beta,153254,74914,70927,58623,34625,9448,2314,31402,69122
c1cds1773,VF_1759,1674,30S ribosomal protein S1,317235,373507,431636,331983,307182,87343,20538,167744,427441
c1cds1774,VF_1760,675,cytidylate kinase,10951,17652,13460,15900,16780,3633,384,5351,9623
c1cds1775,VF_1761,1281,3-phosphoshikimate 1-carboxyvinyltransferase,1097,915,982,3834,3737,1352,328,602,794
c1cds1776,VF_1762,720,leucyl%2Fphenylalanyl-tRNA--protein transferase,312,283,307,334,236,90,57,139,223
c1cds1777,VF_1763,693,arginyl-tRNA-protein transferase,578,561,570,326,252,77,84,218,417
c1cds1778,VF_1764,219,translation initiation factor IF-1,3133,4027,4696,2373,900,388,149,1423,1738
c1cds1779,VF_1765,2253,ATP-dependent Clp protease ATP-binding subunit,71017,29379,34944,16819,44876,8979,1485,6419,15445
c1cds1780,VF_1766,321,ATP-dependent Clp protease adaptor protein ClpS,15244,4285,3369,4422,6830,1680,352,1410,2218
c1cds1781,VF_1767,222,DNA replication inhibitor,24932,10053,11648,2226,2179,293,771,3433,4866
c1cds1782,VF_1768,543,hypothetical protein,633,423,347,160,86,17,118,335,431
c1cds1783,VF_1769,1458,hypothetical protein,2065,1361,1506,844,851,221,134,410,779
c1cds1784,VF_1770,858,bifunctional 5%2C10-methylene-tetrahydrofolate dehydrogenase%2F 5%2C10-methylene-tetrahydrofolate cyclohydrolase,633,950,1327,2140,1425,435,13,195,330
c1cds1785,VF_1771,1935,serine kinase PrkA,70056,29820,23854,1259,3623,323,4528,14575,38789
c1cds1786,VF_1773,1272,hypothetical protein,21112,11296,9066,396,1094,123,385,2840,7921
c1cds1787,VF_1774,1518,SpoVR family protein,29565,11281,9210,487,770,90,1426,3111,7432
c1cds1788,VF_1775,2229,isocitrate dehydrogenase,4340,8370,11324,37038,32186,5605,471,3994,5345
c1cds1789,VF_1776,621,23S rRNA pseudouridine synthase,334,383,453,385,343,72,0,48,75
c1cds1790,VF_2633,174,lipoprotein,419,233,224,201,159,30,5,72,132
c1cds1791,VF_1777,273,hypothetical protein,323,593,648,366,221,53,15,146,211
c1cds1792,VF_1778,1620,methyl-accepting chemotaxis protein,49,58,55,46,38,12,43,69,82
c1cds1793,VF_1779,336,tellurite resistance protein B,706,277,198,94,58,23,50,148,256
c1cds1794,VF_1780,774,ferredoxin-NADP reductase,1790,730,724,153,153,57,115,395,849
c1cds1795,VF_1781,1149,nitric oxide reductase,1202,474,417,117,134,44,2,250,429
c1cds1796,VF_1782,1491,anaerobic nitric oxide reductase flavorubredoxin,93,132,131,55,68,25,25,69,84
c1cds1797,VF_1783,1539,anaerobic nitric oxide reductase transcriptional regulator,440,331,293,398,315,100,117,258,411
c1cds1798,VF_1784,1125,tRNA-specific 2-thiouridylase MnmA,2057,6203,8580,4565,2890,698,214,1578,2679
c1cds1799,VF_1785,618,hypothetical protein,2008,4134,6689,2447,1352,371,96,920,1431
c1cds1800,VF_1786,1371,adenylosuccinate lyase,1150,1657,2433,11395,3373,1120,19,796,1200
c1cds1801,VF_1787,855,AraC family transcriptional regulator,524,339,348,200,279,90,140,227,322
c1cds1802,,255,hypothetical protein,51,24,19,5,18,2,1,10,10
c1cds1803,VF_1788,429,hypothetical protein,952,601,654,1020,1702,340,9,292,435
c1cds1804,VF_1789,2094,methyl-accepting chemotaxis protein,328,852,843,4410,2604,1097,80,108,211
c1cds1805,VF_1790,1197,ATP-dependent RNA helicase,827,1325,1545,1381,650,205,13,433,563
c1cds1806,VF_1791,888,serine protease,1237,2184,2156,958,2250,479,255,621,1086
c1cds1807,VF_1792,471,hypothetical protein,587,973,948,490,946,292,139,290,504
c1cds1808,VF_1793,1749,formate--tetrahydrofolate ligase,308,670,912,1505,1088,274,96,270,316
c1cds1809,VF_1794,501,hypothetical protein,1878,1117,1391,2377,3889,1473,138,476,606
c1cds1810,VF_1795,1050,outer membrane protein OmpC,97,211,177,370,684,119,48,137,140
c1cds1811,VF_1796,810,23S rRNA methyltransferase,470,408,410,397,154,41,50,363,467
c1cds1812,VF_1797,612,hypothetical protein,682,199,187,25,42,7,0,90,120
c1cds1813,VF_1798,1407,chloride channel protein,374,809,601,735,644,150,62,206,342
c1cds1814,VF_1799,942,lipid A biosynthesis %28KDO%292-%28lauroyl%29-lipid IVA acyltransferase,1636,2808,3080,2520,1069,320,121,822,1024
c1cds1815,VF_1800,426,HIT family hydrolase,852,651,629,936,989,294,31,201,279
c1cds1816,VF_1801,261,hypothetical protein,1062,1028,915,482,424,70,45,355,411
c1cds1817,VF_1802,531,hypothetical protein,146,274,296,246,83,40,105,129,163
c1cds1818,VF_1803,534,magnesium transport ATPase protein C,21,28,22,20,31,6,21,30,48
c1cds1819,VF_1804,642,hypothetical protein,78,76,97,523,294,105,49,65,132
c1cds1820,VF_1805,1086,chorismate synthase,3076,2324,3426,3980,3491,843,387,597,1079
c1cds1821,VF_2635,129,hypothetical protein,111,178,72,84,94,26,105,62,39
c1cds1822,VF_1806,933,N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase,1008,1605,2413,3079,1878,567,171,822,1379
c1cds1823,VF_1807,534,hypothetical protein,1732,2122,2610,570,468,138,65,399,972
c1cds1824,VF_1808,471,phosphohistidine phosphatase,1825,2567,3204,1181,1167,302,209,456,1066
c1cds1825,VF_1809,2778,protease III,6338,3894,3627,2527,2305,638,199,1429,2899
c1cds1826,VF_1810,2100,multifunctional fatty acid oxidation complex subunit alpha,19249,29896,35193,603,1713,276,1243,9900,19144
c1cds1827,VF_1811,1329,3-ketoacyl-CoA thiolase,6453,12333,18864,390,939,130,996,4735,7772
c1cds1828,VF_1812,1227,long-chain fatty acid transport protein,22926,14114,22761,35715,11516,3719,2388,12454,28686
c1cds1829,VF_1813,1299,long-chain fatty acid transport protein,212,230,258,141,133,39,11,171,201
c1cds1830,VF_1814,606,hypothetical protein,675,326,226,236,128,58,31,223,283
c1cds1831,VF_1815,783,VacJ lipoprotein,899,483,485,576,354,102,160,261,446
c1cds1832,VF_1816,1218,cytochrome c-type biogenesis protein CcmI,9242,7733,8910,4833,5429,1565,335,1686,3723
c1cds1833,VF_1817,516,cytochrome c-type biogenesis protein CcmH,2777,2190,2260,1971,1663,552,70,451,811
c1cds1834,VF_1818,552,periplasmic thioredoxin of cytochrome c-type biogenesis,2305,2398,2598,1613,1796,458,15,397,942
c1cds1835,VF_1819,1959,heme lyase%2C CcmF subunit,5027,5257,7015,5479,3375,840,139,588,1373
c1cds1836,VF_1820,486,cytochrome c-type biogenesis protein CcmE,1250,1704,2093,1812,1834,417,118,289,689
c1cds1837,VF_1821,207,heme exporter protein D,261,598,418,341,553,126,87,123,221
c1cds1838,VF_1822,753,heme exporter subunit C,680,883,1113,1089,1008,292,59,450,572
c1cds1839,VF_1823,669,heme exporter subunit B,368,586,563,495,441,155,136,402,385
c1cds1840,VF_1824,615,cytochrome c biogenesis protein CcmA,472,1276,1396,1142,1452,359,102,683,976
c1cds1841,VF_1825,462,hypothetical protein,2249,3763,3990,7470,4246,1474,85,1152,1461
c1cds1842,VF_1826,495,chemotaxis coupling protein CheW,1631,1971,2185,8012,5362,1734,21,435,763
c1cds1843,VF_1828,1059,chemotaxis coupling protein,1601,3511,3566,3539,2700,681,58,360,590
c1cds1844,VF_1829,768,chromosome partitioning protein ParA,1269,3195,3375,3529,2314,700,69,201,310
c1cds1845,VF_1830,1131,chemotaxis-specific methylesterase,2449,7892,8265,8114,6335,1708,1,315,681
c1cds1846,VF_1831,2208,chemotactic sensory histidine kinase CheA%2C in two-component regulatory system with CheB and CheY,8662,26358,25524,19994,14911,4273,132,1498,2702
c1cds1847,VF_1832,717,chemotaxis regulator CheZ%2C protein phosphatase for CheY,2865,7623,7825,6275,3612,1151,66,681,1273
c1cds1848,VF_1833,369,chemotaxis regulator CheY%2C transmits signal to flagellar motor component,1962,5855,5455,2822,2109,522,81,470,1034
c1cds1849,VF_1834,732,flagellar biosynthesis sigma factor,4907,11668,12972,5726,3240,900,306,929,2069
c1cds1850,VF_1835,891,flagellar synthesis regulator FlhG,6418,14957,15752,6269,2659,709,62,1121,2452
c1cds1851,VF_1836,1479,flagellar biosynthesis regulator FlhF,5903,20490,22472,5009,1896,545,415,1591,3211
c1cds1852,VF_1837,2094,flagellar biosynthesis protein FlhA,4501,14475,13803,2996,1050,264,58,857,2193
c1cds1853,VF_1838,678,hypothetical protein,272,484,476,306,168,45,60,184,274
c1cds1854,VF_1839,1131,flagellar biosynthesis protein FlhB,599,2031,1459,293,249,65,1,77,127
c1cds1855,VF_1840,783,flagellar biosynthesis protein FliR,537,1812,1656,306,213,47,22,75,115
c1cds1856,VF_1841,270,flagellar biosynthesis protein FliQ,185,610,584,203,165,37,0,20,46
c1cds1857,VF_1842,870,flagellar biosynthesis protein FliP,728,1935,2059,787,351,95,0,83,105
c1cds1858,VF_1843,387,flagellar biosynthesis protein FliO,674,1931,1919,724,407,81,0,100,98
c1cds1859,VF_1844,390,flagellar motor switch protein,1106,2805,3229,2027,987,195,0,147,223
c1cds1860,VF_1845,1035,flagellar motor switch protein FliM,1619,4602,4990,3463,1153,257,11,296,382
c1cds1861,VF_1846,486,flagellar basal body protein FliL,555,2132,1954,1017,366,88,1,119,121
c1cds1862,VF_1847,1251,flagellar hook length control protein FliK,2041,7311,7673,2483,1112,272,67,341,567
c1cds1863,VF_1848,444,flagellar biosynthesis chaperone,346,879,788,303,312,69,0,56,85
c1cds1864,VF_1849,1320,flagellum-specific ATP synthase,1419,3705,3931,1373,1208,293,41,391,687
c1cds1865,VF_1850,798,flagellar assembly protein H,895,2920,2828,797,588,132,1,208,429
c1cds1866,VF_1851,1053,flagellar motor switch protein G,3374,12415,14693,3375,1155,300,1,424,586
c1cds1867,VF_1852,1734,flagellar MS-ring protein,4738,17273,20651,4621,1521,309,38,466,751
c1cds1868,VF_1853,312,flagellar hook-basal body protein FliE,1128,3261,3748,1068,351,84,40,159,240
c1cds1869,VF_1854,1434,two-component response regulator FlrC,2847,8038,9584,3727,832,216,0,226,353
c1cds1870,VF_1855,1062,sensory histidine kinase FlrB,1919,6744,8294,2289,572,145,16,350,566
c1cds1871,VF_1856,1482,sigma-54-dependent transcriptional activator FlrA,9738,13004,15453,9891,8168,1924,646,4321,7576
c1cds1872,VF_1858,411,flagellar protein FliS,729,3730,3628,3477,1058,217,20,400,339
c1cds1873,VF_1859,291,flagellar protein FlaI,243,856,534,673,384,79,16,58,65
c1cds1874,VF_1860,1971,flagellar capping protein,1222,3999,4080,4949,3943,879,23,155,243
c1cds1875,VF_1861,420,flagellar protein FlaG,606,1637,1533,2639,2540,662,0,40,55
c1cds1876,VF_1862,1197,flagellin,4242,14910,13322,112765,194089,51274,27,872,1666
c1cds1877,VF_1863,1128,flagellin,2595,11483,11030,31740,63013,14301,22,444,677
c1cds1878,VF_1864,1134,flagellin,1719,2835,3489,40724,62546,12558,252,393,761
c1cds1879,VF_1865,1134,flagellin,584,2296,2491,2390,3691,908,0,186,317
c1cds1880,VF_1866,1140,flagellin,1536,5054,7145,44464,39255,10596,14,569,625
c1cds1881,VF_1867,1194,flagellar hook-associated protein FlgL,609,651,836,4076,2047,521,0,229,387
c1cds1882,VF_1868,1881,flagellar hook-associated protein FlgK,613,881,1120,12693,5903,1728,35,105,235
c1cds1883,VF_1869,1020,flagellar rod assembly protein%2Fmuramidase FlgJ,416,1986,2043,3791,2247,640,54,114,127
c1cds1884,VF_1870,1122,flagellar basal body P-ring biosynthesis protein FlgA,1988,5829,7230,2877,1570,365,47,347,814
c1cds1885,VF_1871,792,flagellar basal body L-ring protein,238,504,588,2735,1528,375,0,69,121
c1cds1886,VF_1872,789,flagellar basal body rod protein FlgG,230,423,594,4492,2206,593,0,29,43
c1cds1887,VF_1873,750,flagellar basal body rod protein FlgF,101,354,471,3529,1912,552,33,40,45
c1cds1888,VF_1874,1299,flagellar hook protein FlgE,4791,8162,9821,13550,14866,3100,106,1103,2510
c1cds1889,VF_1875,711,flagellar basal body rod modification protein,5542,9867,11310,24824,27927,7899,669,1152,2707
c1cds1890,VF_1876,417,flagellar basal body rod protein FlgC,2231,4920,5214,11937,14656,4546,60,622,1468
c1cds1891,VF_1877,396,flagellar basal-body rod protein FlgB,3520,5347,4639,16075,14880,4159,707,612,1385
c1cds1892,VF_1878,828,chemotaxis regulator%2C protein-glutamate methyltransferase%2C CheR,1230,3178,3324,4243,3785,822,261,580,955
c1cds1893,VF_1879,921,chemotaxis protein CheW,1056,4903,4581,5571,5761,1364,77,960,1286
c1cds1894,VF_1880,768,flagellar basal body P-ring biosynthesis protein FlgA,1140,1956,1570,517,484,129,221,450,820
c1cds1895,VF_1881,312,flagellar anti-sigma-28 factor FlgM,7551,16444,12869,5435,7945,1686,353,1671,3310
c1cds1896,VF_1882,429,chaperone FlgN,8851,20350,21576,3103,4814,1057,181,1611,3223
c1cds1897,VF_1883,432,hypothetical protein,264,1447,2017,1922,2035,394,36,116,163
c1cds1898,VF_1884,636,hypothetical protein,340,1456,1722,3633,2642,583,23,143,143
c1cds1899,VF_1885,1137,hypothetical protein,1588,2379,2292,2334,1292,299,21,373,507
c1cds1900,VF_1886,1452,hypothetical protein,73,91,34,350,220,71,106,69,54
c1cds1901,VF_2636,174,hypothetical protein,14770,23158,6500,76,245,48,243,1995,3647
c1cds1902,VF_1887,1425,glutamyl-tRNA synthetase,2824,6785,10103,13691,5696,1511,64,2482,3727
c1cds1903,VF_1888,798,lipoprotein,1203,1714,1483,2739,2383,652,12,541,443
c1cds1904,VF_1889,1053,chitoporin ChiP,1165,1254,1446,687,751,166,203,705,1088
c1cds1905,VF_1890,2007,NAD-dependent DNA ligase LigA,2437,1792,2146,1872,917,240,3,226,539
c1cds1906,VF_1891,1077,cell division protein ZipA,8605,8468,11082,5364,7691,1865,546,2731,5517
c1cds1907,VF_1892,753,sulfate transport protein CysZ,1072,753,748,806,379,105,127,230,307
c1cds1908,VF_1893,969,cysteine synthase A,24207,6883,9736,4634,7275,1717,904,9356,11511
c1cds1909,VF_1894,258,phosphohistidinoprotein-hexose phosphotransferase component of PTS system %28Hpr%29,1721,2261,2014,6304,6088,1515,161,1014,1749
c1cds1910,VF_1895,1725,phosphoenolpyruvate-protein phosphotransferase,5631,7334,8977,20184,15027,5295,504,3172,5607
c1cds1911,VF_1897,510,PTS system glucose-specific transporter,7073,7411,9807,19506,11804,3387,226,3949,5922
c1cds1912,VF_1898,906,hypothetical protein,1416,1386,1415,2829,9678,2599,155,703,1188
c1cds1913,VF_1899,393,hypothetical protein,501,1824,1266,747,4472,774,91,1240,1676
c1cds1914,VF_1900,450,competence protein ComE,561,2656,2349,1081,3911,691,361,2220,3273
c1cds1915,VF_1901,360,hypothetical protein,315,210,297,305,251,105,117,76,123
c1cds1916,VF_1902,132,hypothetical protein,478,824,1295,252,1965,255,19,194,442
c1cds1917,VF_1903,576,nitrate reductase%2C cytochrome c-type%2C periplasmic,7522,5175,6706,5698,8224,1456,181,779,2243
c1cds1918,VF_1904,474,nitrate reductase%2C small%2C cytochrome C550 subunit%2C periplasmic,6235,3643,5089,6021,5731,975,380,406,1115
c1cds1919,VF_1905,2490,nitrate reductase catalytic subunit,27492,20556,31047,30405,10761,1982,239,2905,6889
c1cds1920,VF_1906,285,protein required for assembly of periplasmic nitrate reductase %28NapA%29,3639,2363,3369,3365,280,50,174,562,1277
c1cds1921,VF_1907,525,ferredoxin-type protein,4642,3680,4166,1589,99,24,233,881,1340
c1cds1922,VF_1908,1692,nitrate%2Fnitrite sensor protein NarQ,2760,1044,917,832,581,174,214,447,645
c1cds1923,VF_1909,612,DNA-binding response regulator in two-component regulatory system with NarQ,2435,2094,2523,1259,1413,343,230,803,1481
c1cds1924,VF_1910,330,ubiquinone biosynthesis protein AarF,3391,3342,2415,268,227,67,95,655,1137
c1cds1925,VF_1911,282,hypothetical protein,2232,1377,1563,716,2510,581,105,360,1023
c1cds1926,VF_1912,285,hypothetical protein,125,204,173,124,178,46,0,64,161
c1cds1927,VF_1913,360,arsenate reductase,584,310,344,940,282,155,32,205,202
c1cds1928,VF_1914,1134,succinyl-diaminopimelate desuccinylase,1800,1869,2282,4234,2807,630,155,654,1246
c1cds1929,VF_1915,669,D-alanyl-D-alanine carboxypeptidase,372,276,320,529,680,211,60,69,100
c1cds1930,VF_1916,210,hypothetical protein,1034,241,146,257,358,127,11,84,74
c1cds1931,VF_1917,1053,lipoprotein,4432,5102,7246,5220,4852,1087,132,1060,2128
c1cds1932,VF_1918,882,dihydrodipicolinate synthase,4740,4483,5840,6504,5706,1396,218,1559,3275
c1cds1933,VF_1919,528,DNA-binding transcriptional repressor,808,1082,910,1329,927,316,110,477,375
c1cds1934,VF_1920,471,thioredoxin-dependent thiol peroxidase,4080,4379,4150,4276,3989,928,198,1221,1861
c1cds1935,VF_1921,1065,hypothetical protein,1133,1069,921,691,697,201,185,646,821
c1cds1936,VF_2637,222,SirA-like redox protein,151,195,129,84,99,19,0,64,116
c1cds1937,VF_1922,1455,peptidase,1070,1079,1000,1400,1039,317,199,549,1054
c1cds1938,VF_1923,351,oxidoreductase,1236,478,512,4063,3864,754,43,307,533
c1cds1939,VF_1924,429,hypothetical protein,617,296,316,1361,1239,260,135,123,216
c1cds1940,VF_1925,1176,hypothetical protein,3348,3090,3776,2098,1643,568,447,1578,2793
c1cds1941,VF_1926,1221,uracil transporter,1129,1453,2146,1826,1088,293,12,355,523
c1cds1942,VF_1927,645,uracil phosphoribosyltransferase,8477,7985,11256,7862,4271,1028,395,2359,5134
c1cds1943,VF_1928,1041,phosphoribosylaminoimidazole synthetase,169,335,417,1456,921,270,160,730,893
c1cds1944,VF_1929,642,phosphoribosylglycinamide formyltransferase 1,806,522,528,1037,329,119,117,358,538
c1cds1945,VF_1930,834,amidotransferase,1682,2665,3028,4195,6824,1496,158,1079,1571
c1cds1946,VF_1931,582,phosphoheptose isomerase,1354,1982,2026,4815,7844,2107,132,984,1289
c1cds1947,VF_1932,2448,acyl-CoA dehydrogenase,63530,62971,73542,2120,2142,537,5363,38071,82136
c1cds1948,VF_2638,177,hypothetical protein,177,271,129,63,25,8,0,43,31
c1cds1949,VF_1934,1263,ferredoxin-dependent glutamate synthase,1363,2173,2539,1897,2031,496,53,261,355
c1cds1950,VF_1935,732,DNA polymerase III subunit epsilon,854,1359,1747,1009,1021,219,7,184,288
c1cds1951,VF_1936,474,ribonuclease H,288,414,567,338,289,77,59,128,235
c1cds1952,VF_1937,744,S-adenosyl-L-methionine-dependent methyltransferase,1914,1788,1822,819,1081,294,177,870,1640
c1cds1953,VF_1938,759,hydroxyacylglutathione hydrolase,668,793,775,1230,1156,264,44,255,377
c1cds1954,VF_1939,1554,membrane-bound lytic murein transglycosylase D,368,425,608,1558,874,251,33,90,181
c1cds1955,VF_1940,693,hypothetical protein,281,511,586,1102,995,323,21,143,199
c1cds1956,VF_1941,867,hypothetical protein,641,466,546,416,250,69,30,202,348
c1cds1957,VF_1942,339,regulatory protein P-II for glutamine synthetase,2678,1398,2009,1636,1393,305,117,681,977
c1cds1958,VF_1943,312,cytochrome c-554%28548%29,2404,3629,3393,913,2751,407,62,549,795
c1cds1959,VF_1945,1371,tRNA%28Ile%29-lysidine synthetase,4656,4570,5184,1088,1090,319,553,815,1180
c1cds1960,VF_1946,960,acetyl-CoA carboxylase carboxyltransferase subunit alpha,2466,5449,6510,8894,6423,1505,105,1081,1626
c1cds1961,VF_1947,3480,DNA polymerase III subunit alpha,4311,5157,5908,7260,4575,1300,129,873,1629
c1cds1962,VF_1948,624,ribonuclease HII,419,735,732,802,583,149,0,141,243
c1cds1963,VF_1949,1152,lipid-A-disaccharide synthase,756,1181,1420,1308,803,205,87,409,548
c1cds1964,VF_1950,789,UDP-N-acetylglucosamine acyltransferase,5117,6035,7066,9318,5910,1749,187,2274,3950
c1cds1965,VF_1951,453,%283R%29-hydroxymyristoyl-ACP dehydratase,3198,2928,2705,4623,2359,840,110,1364,2439
c1cds1966,VF_1952,1020,UDP-3-O-%5B3-hydroxymyristoyl%5D glucosamine N-acyltransferase,10118,8842,13166,10222,6917,2055,454,2795,5905
c1cds1967,VF_1953,516,periplasmic chaperone,4971,5894,5950,6379,5513,1215,249,1445,2857
c1cds1968,VF_1954,2430,outer membrane protein assembly factor YaeT,5076,4503,6214,7072,3537,1030,426,2316,4666
c1cds1969,VF_1955,1359,membrane-associated zinc protease,2874,2072,2741,1977,1187,348,440,1380,3151
c1cds1970,VF_1956,1203,1-deoxy-D-xylulose 5-phosphate reductoisomerase,202,392,405,1067,740,199,22,232,308
c1cds1971,VF_1957,780,CDP-diglyceride synthase,491,1316,1181,1009,805,187,10,301,391
c1cds1972,VF_1958,774,undecaprenyl pyrophosphate synthase,868,1621,1900,1807,1875,473,59,713,1120
c1cds1973,VF_1959,558,ribosome recycling factor,1749,2644,3806,8750,7486,2061,104,1671,2581
c1cds1974,VF_1960,732,uridylate kinase,1050,1131,1373,7453,2696,833,57,1013,1249
c1cds1975,VF_1961,846,elongation factor Ts,16332,20117,24524,46886,33453,13892,435,9459,13489
c1cds1976,VF_1962,729,30S ribosomal protein S2,39928,66134,61242,72305,43751,15928,1702,17943,32017
c1cds1977,VF_1963,828,methionine aminopeptidase,2737,3043,4073,5489,4300,1485,104,1540,1927
c1cds1978,VF_1964,2622,PII uridylyl-transferase,1420,589,774,2033,1467,346,54,139,235
c1cds1979,VF_1965,381,hypothetical protein,1068,486,322,620,609,192,156,211,330
c1cds1980,VF_1966,951,preprotein translocase subunit SecF,2068,2553,2580,6876,2864,1064,121,844,1796
c1cds1981,VF_1967,1857,preprotein translocase subunit SecD,1311,2338,2932,10052,5144,1535,0,1248,2636
c1cds1982,VF_1968,336,preprotein translocase subunit YajC,1625,2701,2887,4478,4006,1105,11,878,1519
c1cds1983,VF_1969,1128,queuine tRNA-ribosyltransferase,1787,2715,3614,4793,3082,1321,437,1192,2120
c1cds1984,VF_1970,1053,S-adenosylmethionine--tRNA ribosyltransferase-isomerase,322,525,652,2261,1188,318,108,418,658
c1cds1985,VF_1971,444,acetoin utilization AcuB protein,3692,2528,3443,1965,12884,2340,57,676,1637
c1cds1986,VF_1972,1329,isocitrate lyase,42585,31859,20847,120,130,26,269,3596,4869
c1cds1987,VF_1973,1605,malate synthase,27263,22567,17438,63,77,13,288,3982,6193
c1cds1988,VF_1974,900,LysR family transcriptional regulator,364,463,595,1329,1241,355,78,281,506
c1cds1989,VF_1975,609,alkyl hydroperoxide reductase,36951,22454,31013,118285,60224,14709,2856,42684,60516
c1cds1990,VF_1976,744,copper homeostasis protein,917,1155,1294,1755,1681,597,19,289,466
c1cds1991,VF_1977,363,hypothetical protein,704,642,792,319,275,67,22,315,555
c1cds1992,VF_1978,636,accessory colonization factor AcfA-like protein,249,279,207,86,113,28,0,346,550
c1cds1993,VF_1979,930,LysR family transcriptional regulator,353,196,170,494,535,127,34,200,212
c1cds1994,VF_1980,510,hypothetical protein,62,35,34,19,16,5,34,26,27
c1cds1995,VF_1981,561,hypothetical protein,47477,18283,20753,11384,16579,3156,1469,12790,23789
c1cds1996,VF_1982,699,transcriptional regulator PhoU,2171,1524,1897,1168,2043,465,178,589,1000
c1cds1997,VF_1983,819,phosphate transporter ATP-binding protein,1904,1234,1453,1059,1122,383,101,519,746
c1cds1998,VF_1984,1536,phosphate transport system permease protein PstA,2100,1124,1381,523,413,130,26,352,470
c1cds1999,VF_1985,2208,phosphate transport system permease protein PstC,2532,1303,1752,574,411,133,47,381,537
c1cds2000,VF_1986,990,phosphate-binding protein,170,167,199,316,282,91,35,287,432
c1cds2001,VF_1987,1296,phosphate regulon sensor protein,436,297,348,800,916,221,109,689,1215
c1cds2002,VF_1988,693,DNA-binding response regulator in two-component regulatory system with PhoR,289,105,129,844,978,210,3,689,1172
c1cds2003,VF_1989,915,recombination associated protein,493,744,913,1881,1257,403,139,265,360
c1cds2004,VF_1990,1389,peptidase,485,3397,5474,8066,3037,695,104,1150,1504
c1cds2005,VF_1991,255,%284Fe-4S%29-binding protein,232,1857,2698,842,419,81,64,200,245
c1cds2006,VF_1992,1095,hypothetical protein,826,1629,2021,861,1536,344,184,571,825
c1cds2007,VF_1993,1140,molecular chaperone DnaJ,3403,2843,3979,4152,2736,668,51,1251,3343
c1cds2008,VF_1994,1905,molecular chaperone DnaK,30684,31182,41219,108105,57246,22325,903,9239,25812
c1cds2009,VF_1995,960,hypothetical protein,3450,2183,3062,781,846,157,86,447,1252
c1cds2010,VF_1996,585,heat shock protein,4173,4882,7205,7545,5863,1602,307,1666,3232
c1cds2011,VF_1997,894,inorganic polyphosphate%2FATP-NAD kinase,584,765,939,1178,1254,340,0,296,439
